Viability	N	aimfA	DeltaMean	FST	jSFS	GWAS	Scenario	Model	TrueDelta
VAA=1	20	0.1	0.0501	0	0	0	BA	Add	0.0469125
VAA=1	20	0.2	0.0974	0.1	0	0	BA	Add	0.0929334
VAA=1	20	0.3	0.13305	0.7	0.3	0	BA	Add	0.1387266
VAA=1	20	0.4	0.18435	1.2	1.4	0	BA	Add	0.1844697
VAA=1	50	0.1	0.04861	0.4	0	0	BA	Add	0.0469125
VAA=1	50	0.2	0.09658	1.4	0.4	0	BA	Add	0.0929334
VAA=1	50	0.3	0.13633	4.7	3.7	0	BA	Add	0.1387266
VAA=1	50	0.4	0.18281	10	11.8	0	BA	Add	0.1844697
VAA=1	100	0.1	0.04775	0.8	0	0	BA	Add	0.0469125
VAA=1	100	0.2	0.09633	5.6	2.4	0	BA	Add	0.0929334
VAA=1	100	0.3	0.1372	14.5	17.3	0	BA	Add	0.1387266
VAA=1	100	0.4	0.18412	36.5	51.8	0	BA	Add	0.1844697
VAA=1	200	0.1	0.046875	2.6	0.5	0	BA	Add	0.0469125
VAA=1	200	0.2	0.094245	18.5	11.8	0	BA	Add	0.0929334
VAA=1	200	0.3	0.1380975	51.5	55.8	0	BA	Add	0.1387266
VAA=1	200	0.4	0.1850975	83.7	86.4	0	BA	Add	0.1844697
VAA=1	500	0.1	0.046685	20.5	4	0	BA	Add	0.0469125
VAA=1	500	0.2	0.093666	74.1	64.7	0	BA	Add	0.0929334
VAA=1	500	0.3	0.138172	95.7	96	0	BA	Add	0.1387266
VAA=1	500	0.4	0.183602	98.3	99.3	0	BA	Add	0.1844697
VAA=1	20	0.1	0.082225	0.3	0	0	DA	Add	0.08492841
VAA=1	20	0.2	0.16975	1.9	0.9	2.3	DA	Add	0.1689128
VAA=1	20	0.3	0.2572	8.8	4.7	8.7	DA	Add	0.2522907
VAA=1	20	0.4	0.33335	20.4	15.9	9	DA	Add	0.3351859
VAA=1	50	0.1	0.08512	1.6	0	1.1	DA	Add	0.08492841
VAA=1	50	0.2	0.17147	17.2	3.9	17.2	DA	Add	0.1689128
VAA=1	50	0.3	0.25252	47.1	35.3	53.8	DA	Add	0.2522907
VAA=1	50	0.4	0.33364	77.2	76.7	82	DA	Add	0.3351859
VAA=1	100	0.1	0.085295	12.3	0.1	10.7	DA	Add	0.08492841
VAA=1	100	0.2	0.17052	59	34.6	63.3	DA	Add	0.1689128
VAA=1	100	0.3	0.253065	89.7	88.6	92.8	DA	Add	0.2522907
VAA=1	100	0.4	0.33332	95.9	96.6	97	DA	Add	0.3351859
VAA=1	200	0.1	0.084545	45.9	9.9	46.4	DA	Add	0.08492841
VAA=1	200	0.2	0.1690875	93.1	81.3	93.8	DA	Add	0.1689128
VAA=1	200	0.3	0.254155	98.9	97.9	99.2	DA	Add	0.2522907
VAA=1	200	0.4	0.33444	99.6	99.7	99.9	DA	Add	0.3351859
VAA=1	500	0.1	0.084867	95.3	51.6	93.7	DA	Add	0.08492841
VAA=1	500	0.2	0.168936	99.5	97.1	99.8	DA	Add	0.1689128
VAA=1	500	0.3	0.25162	99.9	99.6	99.6	DA	Add	0.2522907
VAA=1	500	0.4	0.335659	99.8	100	100	DA	Add	0.3351859
VAA=0.8	20	0.1	0.01	0.1	0	0	BA	Add	
VAA=0.8	20	0.2	0.065	0	0	0	BA	Add	
VAA=0.8	20	0.3	0.025	0.1	0.1	0	BA	Add	
VAA=0.8	20	0.4	0.05645	0.3	0.1	0	BA	Add	0.0558659
VAA=0.8	50	0.1	0.016	0.1	0	0	BA	Add	
VAA=0.8	50	0.2	0.061	0.1	0	0	BA	Add	
VAA=0.8	50	0.3	0.018	0	0	0	BA	Add	
VAA=0.8	50	0.4	0.05072	0.4	0.4	0	BA	Add	0.0558659
VAA=0.8	100	0.1	0.0165	0	0	0	BA	Add	
VAA=0.8	100	0.2	0.039	0	0	0	BA	Add	
VAA=0.8	100	0.3	0.0375	0.2	0.1	0	BA	Add	
VAA=0.8	100	0.4	0.054835	0.3	0.6	0	BA	Add	0.0558659
VAA=0.8	200	0.1	0.00725	0	0	0	BA	Add	
VAA=0.8	200	0.2	0.03475	0.1	0.1	0	BA	Add	
VAA=0.8	200	0.3	0.03925	0.2	0.4	0	BA	Add	
VAA=0.8	200	0.4	0.0544775	0.7	1.4	0	BA	Add	0.0558659
VAA=0.8	500	0.1	0.0107	0.2	0	0	BA	Add	
VAA=0.8	500	0.2	0.0273	0.4	0.4	0	BA	Add	
VAA=0.8	500	0.3	0.0361	1.6	1.7	0	BA	Add	
VAA=0.8	500	0.4	0.054219	5.2	9.6	0	BA	Add	0.0558659
VAA=0.8	20	0.1	0	0	0	0	DA	Add	
VAA=0.8	20	0.2	0.005	0	0	0.1	DA	Add	
VAA=0.8	20	0.3	0.0325	0.3	0.1	0.1	DA	Add	
VAA=0.8	20	0.4	0.05655	0	0.1	0	DA	Add	
VAA=0.8	50	0.1	0.021	0	0	0	DA	Add	
VAA=0.8	50	0.2	0.029	0.1	0	0.1	DA	Add	
