Viability	N	aimfA	DeltaMean	FST	jSFS	GWAS	Scenario	Model	TrueDelta
VAA=1	20	0.1	0.443775	41.4	34.5	0	BA	Add	0.4424024
VAA=1	50	0.1	0.4446	94.3	83.3	0	BA	Add	0.4424024
VAA=1	100	0.1	0.44277	99	96.3	0	BA	Add	0.4424024
VAA=1	200	0.1	0.4417075	100	99.2	0	BA	Add	0.4424024
VAA=1	500	0.1	0.442189	100	100	0	BA	Add	0.4424024
VAA=1	20	0.1	0.445225	40.7	36.6	0	BP	Add	0.0463823
VAA=1	50	0.1	0.44534	92	86.4	0	BP	Add	0.0463823
VAA=1	100	0.1	0.44272	99.4	71.9	0	BP	Add	0.0463823
VAA=1	200	0.1	0.444905	100	99.1	0	BP	Add	0.0463823
VAA=1	500	0.1	0.445484	100	100	0	BP	Add	0.0463823
VAA=1	1000	0.1	0.445283	100	100	0	BP	Add	0.0463823
VAA=1	20	0.1	0.492625	75	58.4	44.7	DA	Add	0.4142564
VAA=1	50	0.1	0.49279	97.4	89.9	50	DA	Add	0.4142564
VAA=1	100	0.1	0.492895	99.7	97.6	54.2	DA	Add	0.4142564
VAA=1	200	0.1	0.49303	100	99.9	58.8	DA	Add	0.4142564
VAA=1	500	0.1	0.493238	100	100	63.2	DA	Add	0.4142564
VAA=0.8	20	0.1	0.34835	18.1	14.5	0	BA	Add	0.34612686
VAA=0.8	50	0.1	0.34795	81.9	67.5	0	BA	Add	0.34612686
VAA=0.8	100	0.1	0.34631	96.6	90.2	0	BA	Add	0.34612686
VAA=0.8	200	0.1	0.346395	100	99.1	0	BA	Add	0.34612686
VAA=0.8	500	0.1	0.34654	100	99.9	0	BA	Add	0.34612686
VAA=0.8	20	0.1	0.3396	15.6	11.5	0	BP	Add	0.34036716
VAA=0.8	50	0.1	0.33972	72.4	57.1	0	BP	Add	0.34036716
VAA=0.8	100	0.1	0.340785	94.7	85.4	0	BP	Add	0.34036716
VAA=0.8	200	0.1	0.34137	99.1	96.8	0	BP	Add	0.34036716
VAA=0.8	500	0.1	0.34117	100	99.9	0	BP	Add	0.34036716
VAA=0.5	20	0.1	0.1000875	1.2	0.7	0	BA	Add	0.0964326
VAA=0.5	20	0.2	0.400825	24.2	26.2	0	BA	Add	0.3984846
VAA=0.5	50	0.1	0.0999	16	6.7	0	BA	Add	0.0964326
VAA=0.5	50	0.2	0.39935	83	84.9	0	BA	Add	0.3984846
VAA=0.5	100	0.1	0.097585	58.1	29.6	0	BA	Add	0.0964326
